"","jobTitle","location","jobUrl","description","techSkills"
"13","Technical Writer II"," Seattle, WA ","https://job-openings.monster.com/Technical-Writer-II-Seattle-WA-US-Kforce-Inc/11/191403465","About the Job
        
                RESPONSIBILITIES:Kforce has a client seeking a Technical Writer II in Seattle, Washington (WA).Summary:This team is for a package of various software tools that helps game developers make games. Customer facing documentation by technical writers - customers are the people making games. Tickets are for documentation covering various topics. Game engines are very complex software used by designers, artists, programmers. Basically, a big tool with a bunch of smaller tools inside of it. Outstanding tickets are areas that haven't been documented. Ex: there is a spelling error on this page, or it can be larger, ex: particle editor needs to be documented. The team is trained and familiar so they take a day and half on average per ticket. Several hundred engineers writing software, documentation team was understaffed, can't keep up with new engineering work that was happening.Key projects: Clear backlog Chunks of tickets coalesce around a feature area, so the contractor will learn one without much randomization Get familiar with one area of the engine and work around areaWork environment: Pretty flexible, writers commute in from outside of Seattle Come in around 10-7 or 8 Early starters are fine too Other people on team will be there starting around 8:30-9Key Role: A period of collaboration with people who wrote the software, get trained on it and then it's head down while you're doing the writing; A little more collaboration while doing a technical review; Writing team is fairly introverted, talk one on one, not noisy and not a ton of conversations. No full-time remote, but once they get their feet under them, they can work from home one day per week; Need to be on site while they learn No headcount for full time, so conversion is probably not possible; Yes to extensions as long as contractor is hitting KPIs set up internally, getting good resultsREQUIREMENTS: A minimum of 5 years in a technical writing role Proven experience designing and delivering customer-oriented documentation Strong written and verbal communication skills Experience working directly with development teams Must have done documentation for a significant technical software product Ownership is pretty good indicator; Writers just document the stuff they've been told to document, but those who excel can also work in other documentation and see improvement spot, take initiative and make a change; If something has been presented in a certain way, and it's overly complicated to write about, maybe there's a better way to implement, so a good tech writer will let the engineers know Dive deep is important, have to dive into technical space and deeply understand before they write about it Automatic DQ: If they've never done documentation of a significantly technical software product, they need to see a history of that; Writers doing end user facing, IU that were fairly simple; This is technical software for developers who are technical people; If you see work where they've done developer facing documentationPreferred Skills: Experience with cloud services or game technology Experience with instructional design Experience with an XML-based authoring system Previous experience working in an agile environment Passion to thrive in a fast-paced, ever-changing environment Proven experience using and following the Microsoft Manual of Style for Technical Publications (MSTP) A proactive and open-minded attitude to resolving problems and delivering resultsKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
            
        View more info

            View less info
                    Report this job
        ","none_listed"
"14","Technical Writer"," Saint Paul, MN ","https://job-openings.monster.com/Technical-Writer-Saint-Paul-MN-US-Bentley-Global-Resources-LLC/11/190915549","About the Job
        
                Bentley Staffing Services is a national recruiting agency.  We are currently recruiting for an esteemed client in Mounds View, MN. The Technical Writeris needed on a long term contract basis.POSITION DESCRIPTIONThis position is responsible for planning, research, and technical writing support for medical device industry product labeling  REQUIRED SKILLS1. Excellent soft skills: ability to work with cross-functional teams 2. Excellent writing skills 3. Project management experience  EDUCATION REQUIREDBA/BS Desired Degrees: Writing, English and Technical Communications  YEARS OF EXPERIENCE1+ years of experience in technical writing with a Masters’ degree 1+ years of experience in technical writing with a BA/BS degree   For immediate consideration, please include your resume with contact information.
            
        View more info

            View less info
                    Report this job
        ","none_listed"
"15","Technical Writer"," Milpitas, CA ","https://job-openings.monster.com/Technical-Writer-Milpitas-CA-US-Richmar-Associates-Inc/11/191305418","About the Job
        
                A technology company in Milpitas, CA is looking for an experience Technical Writer. Job duties include:Explain technical/mechanical      ideas in clear and concise language.Collaborate with multiple      technical groups in order to consolidate information necessary for      document.Create and update user      documentation for a variety of products, including procedures and      instruction manuals.Gather information, photographs,      and drawings from SMEs [Subject Matter Experts]      to create procedures for Manufacturing and Field Service.Write policies and procedures in      established templates.Submit draft documents to SMEs for      feedback and redlines.Adjust copy as necessary and      proofread for grammar and spelling.Release documents following      final approval through an established ECO process.Provide updates and different      editions as necessary.Expertly manage version control      of documents.Maintain matrices that gauge      tasks accomplished weekly.Requirements:Must have at least an Associate’s Degree and minimum of 2 years of experience as a Technical Writer.Proficient in Microsoft Office (Word, Excel, Visio, Outlook, PowerPoint), OpenOffice CalcExperience in Adobe Framemaker 8 and Adobe Acrobat a huge plusPhoto editing skillsExcellent communication skillsFamiliarity in working with style guides.
            
        View more info

            View less info
                    Report this job
        ","acrobat framemaker office visio"
"16","Technical Writer - Documentation"," Seattle, WA ","https://job-openings.monster.com/Technical-Writer-Documentation-Seattle-WA-US-eXcell/11/191121060","About the Job
        
                Did you know that Gartner positioned eXcell as a Leader in its Magic Quadrant for End User Outsourcing? Come work for the leader today! The key responsibility for the Technical Writer is to independently develop and deliver documentation for core game engine technologies and tools. Candidates must have experience creating documentation for a significant technical software product! Required Skills:5+ years in a technical writing role	Proven experience designing and delivering customer-oriented documentation	Strong written and verbal communication skills	Experience working directly with development teams Preferred Skills:Experience with cloud services or game technology	Experience with instructional design	Experience with an XML-based authoring system	Experience working in an agile environment	Passion to thrive in a fast-paced, ever-changing environment	Proven experience using and following the Manual of Style for Technical Publications	Proactive and open-minded attitude to resolving problems and delivering results W2 only, no Corp to Corp. We are unable to sponsor H1B visas at this time. **eXcell™ Supports Equal Employment Opportunity** eXcell™, a division of CompuCom® Systems, Inc., a global company headquartered in Bellevue, Washington, provides IT staffing services and solutions to Fortune 1000 companies as well as small and medium business. For more information, visit www.excell.com.
            
        View more info

            View less info
                    Report this job
        ","visio xml"
"17","Technical Writer"," Fort Myers, FL ","https://job-openings.monster.com/Technical-Writer-Fort-Myers-FL-US-Stone-Search/11/191144847","About the Job
        
                Technical Writer - Fort Myers, FLOur client is the leading customer interaction analytics solution provider for contact centers and is currently seeking a Technical Writer to join their growing organization. In this position, you will create easy-to-understand user content and product documentation to enhance user knowledge and experience. A strong technical knowledge base and ability to work cooperatively with other teams are a must.Responsibilities•Work with multiple internal teams and SMEs to understand product documentation requirements and gather the necessary information for their creation•Create strong content that fulfills company standards and audience goals•Write detailed, straight-forward user guides, installation manuals, and integration guides•Take existing material and seamlessly add to or update as products evolve•Analyze current content and make improvements as necessaryRequirements•5+ years’ experience in technical documentation of software development•Solid working knowledge of MadCap Flare or similar product•Experience with Atlassian JIRA and Confluence•Familiarity with Agile methodologies•Ability to take technical concepts and translate them into documentation to be consumed by non-technical users•Ability to work well in a fast-paced team environment•Capacity to balance multiple projects at once across multiple teams•Keen attention to detail•Excellent verbal and written communication skills
            
        View more info

            View less info
                    Report this job
        ","none_listed"
"18","Graphic Illustrator/Technical Writer for Wheel and Brake Technical Publications"," Troy, OH ","https://job-openings.monster.com/Graphic-Illustrator-Technical-Writer-for-Wheel-Brake-Technical-Publications-Troy-OH-US-Cyient/11/191081826","About the Job
        
                Graphic Illustrator/Technical Writer for Wheel and Brake Technical Publications - Troy, OH Summary·         Create 2D/3D illustrations from drawings, models, existing graphics, or free-style (preferred) for Component Maintenance Manuals (CMM) and service documents as needed by tech writers·         Author service documents (Service Bulletins, Service Letters, Instruction Sheets, Temporary Revisions, and Product Deviation Authorizations ·         Update Departmental Procedures  Requirements·         Bachelor’s Degree·         Illustrator·         Avionics experience preferred·         3+ years experience·         Excellent communications – written and verbal·         US Person - This position requires use of International Traffic in Arms Regulations (ITAR)  Cyient Inc. is an equal opportunity   employer. If you are a team leader, self- motivated and willing to be a part   of a global company apply now. Please visit www.Cyient.com to learn more about our company. 
            
        View more info

            View less info
                    Report this job
        ","illustrator visio"
"19","Senior Technical Writer"," Lincolnshire, IL ","https://job-openings.monster.com/Senior-Technical-Writer-Lincolnshire-IL-US-Sunrise-Systems-Inc/11/190992605","About the Job
        
                Role :  Senior Technical WriterLocation: Lincolnshire, IL - 60069Duration: 8+ Months Type: Hourly contract (W2 Only) Keywords: Technical Writer, Frame Maker, Acrobat, SOP, Manuals, TemplateDescription:Overview ·         Responsible for the development of technical documentation to support software products. ·         Designs and develops content for use in user manuals, quick start guides, installation guides and developer guides that address the needs of both internal and external users.·         Our mission is to establish best-in-class knowledge transfer and to contribute to overall customer satisfaction for users of our products. Responsibilities ·         Develop and write technical content including descriptions, installation procedures, operating instructions, maintenance and troubleshooting information. ·         Conduct interviews with SMEs to gather data for content. ·         Responsible for handling multiple projects at one time in a dynamic environment and publishing deliverables in one or more formats. ·         Follows Style Guide, Template, and Branding Guidelines to comply with department standards.  Qualifications ·         Bachelor's degree or equivalent combination of education and experience. ·         Good writing skills with the ability to clearly translate technical information into easily used and understandable·         text and illustrations. ·         Excellent interpersonal skills necessary to communicate with engineering, marketing, SMEs and external team members to obtain the information necessary to carry out assignments. ·         Knowledge of electronic publishing including Frame Maker, Acrobat and graphic applications. ·         5+ years’ experience preferred   Madhusoodana | RecruiterSunrise Systems Inc.Transforming Business. Enhancing Careers105 Fieldcrest Ave Suite# 504, Edison, NJ 08837 USA Direct: (732) 272 0299| Email: madhusoodana.g@sunrisesys.comHelp|
            
        View more info

            View less info
                    Report this job
        ","acrobat"
"20","Technical Writer"," Orlando, FL ","https://job-openings.monster.com/Technical-Writer-Orlando-FL-US-Industrial-Smoke-Mirrors/11/190908068","About the Job
        
                Industrial Smoke and Mirrors (ISM) is a manufacturer of various training simulators including aircraft, weapons, maritime, and ground vehicle simulators, as well as related hardware components. Most of the simulators we build are for our troops, but we do also perform work for the commercial industry.  We have an impeccable reputation in the industry and are currently in need of a Technical Writer.  Many of our jobs are prototypes, so there will be constant changes, challenges, and specific requirements on a project-by-project basis.We do realize that at this time of year many people are not looking to change jobs, so the actual start date can be arranged for after the first of the year.  We would like to get qualified candidates lined up as soon as possible, so if you feel you would be a good fit but are unable to start right away, please don't hesitate to submit your resume. To be a successful candidate for this position, individuals should be able to perform all job duties listed below:Research, evaluate, and document the various steps from assembly to the operation and maintenance of equipment by applying independent knowledge of technical writing principles.Create user documentation for a variety of material, including how-to guides and instruction manuals.Explain scientific, technical ideas and verbiage in a manner more easily understood by the layperson.Prepare charts, graphs, or forms to go along with rough drafts and final documents.Read and interpret technical drawings, schematics, and computer-generated reports.Work together with the internal business development team to identify the technical writing requirements and estimated schedule for new jobs and projects.Independently analyze information and product data to choose the best method to document ISM products. This would include knowing whether to reference, construct, or include data, etc.Develop and propose production methods, including selection of documentation styles to enhance the efficiency of the Technical Writing position.Independently develop specific goals and plans to prioritize, organize, and accomplish assigned tasks.Work closely with all internal departments to ensure that products are documented correctly.Develop and present presentation materials to ISM staff and customers.Candidates must possess an excellent understanding of Microsoft Office Word including technical grammar, styles, templates, and formatting. Candidates must have excellent organizational and time management skills as well as be self-motivated and able to work efficiently and effectively with minimal supervision. Candidates must also have the ability to collaborate with the mechanical and electrical engineering departments, and multi-task while maintaining accuracy as it can often be a very fast-paced environment.  Applicants should be able to use CAD based computer programs, and also be able to use Microsoft Excel, PowerPoint, and computer graphics software. An ideal candidate would have experience with Department of Defense technical editing, familiarity with Navy, Army, and/or Air Force operation and maintenance manuals, and/or experience in simulation training, but is not required as all technical writing experience will be considered.  Benefits include an excellent work atmosphere, competitive pay, sick days, vacation time, health insurance, company-paid life and long term disability insurance, a company-contributing Simple IRA, tuition reimbursement, and much more.  Relocation assistance may be provided. Please email resume to resumes@industrialsmokeandmirrors.comHelp or fax to Human Resources at 407-299-9074.  No agencies or recruiters, please.  To be considered for this position, you must reference the job title on your cover sheet or email to ensure that it goes to the correct supervisor as we may have multiple positions available. **Please note that we are a Drug Free Workplace and you will be required to take and pass a drug test as well as a background check.  Any offer of employment is strictly contingent on the candidate's ability to take and pass a background check as well as the required drug test within 24 hours of the first offer of employment.  Failure to take the required drug test within 24 hours or failure to pass the required drug test or background check will immediately void any offer of employment made by Industrial Smoke and Mirrors, Inc.  EOE, DFWP**
            
        View more info

            View less info
                    Report this job
        ","office visio"
"21","Technical Writer/Editor"," Huntsville, AL ","https://job-openings.monster.com/Technical-Writer-Editor-Huntsville-AL-US-ASRC-Federal-Holding-Company/11/190884565","About the Job
        
                ""ASRC Federal Analytical Services Inc. (ASI), a subsidiary of ASRC Federal Holding Company, provides technical and management solutions to help federal agencies in the defense and aerospace markets meet complex operational challenges. Headquartered in Huntsville, AL, the company employs a professional workforce known for commitment to excellence and exceeding customer expectations..ASRC Federal ASI is currently seeking a part-time Writer and Editor II to work twenty (20) hours per week supporting our NASA customer in Huntsville, AL. Our Project:ASRC Federal ASI provides comprehensive communication services to the NASA Marshall Space Flight Center Office of Strategic Analysis and Communications (OSAC). Services include strategic research and analysis; communication strategy, planning and message management; and communication services and product development and delivery.  Responsibilities:The Writer/Editor II will have the ability to edit scientific and technical publications for content, syntax, grammar, and continuity of voice. The Writer/Editor II will also research content, coordinate meetings, conduct subject matter expert reviews, and publish materials needed in support of journals, conferences, and for public release, while technical editing to a pre-defined publications style guide. The Writer/Editor II will support the Marshall Space Flight Center Scientific and Technical Information Office by editing NASA reports, presentations, scientific journal articles, manuals, and related technical and administrative publications. Experience using InDesign and MathType software on a Mac computer is desired. The position requires strong technical editing skills, experience in documentation control, plus experience using NASA and/or Government Printing Office style guide(s).  Requirements:Education, Skills and Abilities:B.S. or B.A. in Journalism, English, communications/technical writing, or other related field and 5 years’ experience, preferably in a publication environment Ability to pass a government background investigation will be required for selected candidate.ASRC Federal and its Subsidiaries are Equal Opportunity / Affirmative Action employers. All qualified applicants will receive consideration for employment without regard to race, gender, color, age, sexual orientation, gender identification, national origin, religion, marital status, ancestry, citizenship, disability, protected veteran status, or any other factor prohibited by applicable law.""Bachelor's DegreeEqual Opportunity Employer Minorities/Women/Protected Veterans/Disabled
            
        View more info

            View less info
                    Report this job
        ","indesign office"
"22","Technical Writer"," Kokomo, IN ","https://job-openings.monster.com/Technical-Writer-Kokomo-IN-US-s•com/11/190765910","About the Job
        
                                Technical Writer        Job Description:  The main focus is the developments or creation of Specification (writing about a particular subject ) that can be used by our customers or users on how a product works  Responsibilities:  The Technical writer will interface with Software /Systems/ Independent Test& Verification engineers to create that are formatted to customer compliant templates for Test Descriptions, Test Reports and Test plans.    Be able to represent design documents in Matlab    Setup peer reviews with engineers and be part of customer meetings to review content    Use customer supplied tool chain to generate hyperlinked documents    Update documents using XML based tools    Rewrite or update technical documents for an engineering community  Qualifications/Requirements:  Engineer should have Bachelors degree preferably in engineering    Proven track record of creating documents that are being used in a technical community versus end user documentation.  Preferred Skills:  Familiarity with Matlab, Flowcharts, and State machines, UML, XML tools            s•com     is an Equal Opportunity Employer - All qualified applicants will receive consideration without regard to race, color, religion, gender, national origin, age, disability, veteran status, or any other factor determined to be unlawful under applicable law.  #LI-JE1
            
        View more info

            View less info
                    Report this job
        ","none_listed"
"23","Technical Writer"," San Diego, CA ","https://job-openings.monster.com/Technical-Writer-San-Diego-CA-US-APR-Consulting-Inc/11/191632776","About the Job
        
                      Title: Technical Writer    Location: San Diego, CA  Duration: 12 months or longer  Our client is a world leader and premier innovator in aerospace, with over 100,000 top talent employees providing the most advanced products and technologies in the industry. With numerous awards and recognitions, they offer continuous growth, learning, and development for their employees.  Since 1980 APR Consulting, Inc. has provided professional recruiting and contingent workforce solutions to a diverse mix of clients, industries, and skill sets nationwide.  JOB OVERVIEW  APR is currently looking for a Technical Writer.  DESCRIPTION  The person in this role:  Will be responsible to write, rewrite and/or edit technical documents such as technical procedure manuals, user manuals, programming manuals, service manuals, operational specifications, and related technical publications to communicate clearly and effectively, technical specifications and instructions to a wide range of audiences to include military personnel.    Acquire subject knowledge by interviewing product developers, observing performance of production methods, referencing technical specifications, blueprints, engineering illustrations, and trade journals.    Actively participate in overseeing the preparation of illustrative materials, to include the selection of drawings, sketches, diagrams and charts. Furthermore, this position requires the responsibility to conduct quality reviews of materials.  QUALIFICATIONS  To qualify for this opportunity candidates:  10 Years with Bachelors; 8 Years with Masters or a High School Diploma/GED plus 18 years of experience in lieu of a degree.  Rate: $50/hour on W2  We pay weekly every Friday, have direct deposit, and offer a competitive benefits package: Medical, Dental Vision, 401k plan, etc. - Benefits available shortly into this contract (30+ days - starting with the 1st of the month following 30 days of service).  Don't miss out on this amazing opportunity! If you feel your experience is the match for this position please apply today and join our team.  We look forward to working with you!
            
        View more info

            View less info
                    Report this job
        ","visio"
"24","Technical Writer Intern"," Bloomington, MN ","https://job-openings.monster.com/Technical-Writer-Intern-Bloomington-MN-US-The-Toro-Company/21/0c342e5b-515f-439c-a400-1f35ca4ec820","non-monster-url","none_listed"
